,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
84,Matty Cash,pl POL,DF,Aston Villa,25-251,1997,23,18,1639,18.2,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.9,41,74,56,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-131,1995,29,28,2535,28.2,1,3,4,1,0,0,3,0,1.8,1.8,2.0,3.8,35,88,122,0.04,0.11,0.14,0.04,0.14,0.07,0.07,0.14,0.07,0.14,Matches,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-043,1994,18,14,1261,14.0,1,0,1,1,0,0,3,1,0.3,0.3,1.0,1.3,24,70,46,0.07,0.00,0.07,0.07,0.07,0.02,0.07,0.10,0.02,0.10,Matches,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-082,2004,10,0,194,2.2,1,0,1,1,0,0,1,0,1.6,1.6,0.1,1.7,7,6,15,0.46,0.00,0.46,0.46,0.46,0.75,0.05,0.80,0.75,0.80,Matches,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-124,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-284,1999,17,11,1018,11.3,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,9,35,9,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-085,1995,10,2,289,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,3,14,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-115,1996,19,11,1064,11.8,2,2,4,2,0,0,3,0,1.1,1.1,2.0,3.1,34,29,115,0.17,0.17,0.34,0.17,0.34,0.10,0.16,0.26,0.10,0.26,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-052,1995,24,14,1258,14.0,1,0,1,1,0,0,1,0,1.7,1.7,1.0,2.7,25,54,44,0.07,0.00,0.07,0.07,0.07,0.12,0.08,0.20,0.12,0.20,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-177,2003,11,1,232,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,13,12,16,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.16,0.11,0.16,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-067,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-010,1991,22,19,1640,18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,14,52,29,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-049,1993,22,22,1970,21.9,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.2,4,40,1,0.05,0.05,0.09,0.05,0.09,0.04,0.01,0.05,0.04,0.05,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-173,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,16,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-186,1988,22,19,1612,17.9,1,0,1,1,0,0,1,0,0.3,0.3,0.6,0.9,13,55,34,0.06,0.00,0.06,0.06,0.06,0.02,0.03,0.05,0.02,0.05,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,21-350,2001,21,17,1579,17.5,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,11,60,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-048,2003,10,8,711,7.9,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,35,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-071,1997,23,17,1554,17.3,0,2,2,0,0,0,3,0,0.2,0.2,2.3,2.4,9,56,8,0.00,0.12,0.12,0.00,0.12,0.01,0.13,0.14,0.01,0.14,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,31-361,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,0.7,1,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-228,1991,14,12,1123,12.5,1,0,1,1,0,0,2,0,1.0,1.0,0.5,1.5,1,26,1,0.08,0.00,0.08,0.08,0.08,0.08,0.04,0.12,0.08,0.12,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-200,1996,8,1,125,1.4,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,4,4,18,0.00,0.00,0.00,0.00,0.00,0.73,0.05,0.78,0.73,0.78,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-190,1988,16,10,799,8.9,0,0,0,0,0,0,2,1,2.5,2.5,0.3,2.8,13,6,43,0.00,0.00,0.00,0.00,0.00,0.28,0.04,0.31,0.28,0.31,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-236,1992,20,17,1544,17.2,0,0,0,0,0,0,4,0,0.3,0.3,1.6,1.9,44,72,79,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-307,1992,20,7,788,8.8,1,0,1,1,0,0,3,0,1.4,1.4,0.5,1.8,18,48,68,0.11,0.00,0.11,0.11,0.11,0.16,0.05,0.21,0.16,0.21,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-021,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-121,1989,21,18,1671,18.6,0,0,0,0,0,0,2,0,0.3,0.3,2.7,3.0,28,126,69,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.16,0.01,0.16,Matches,4f974391
